Name,Email,Phone Number,Combined Address,Address, City, State,Zip,Website,GPS Coordinates,Par / Yards,Price Range /season,Twitter,Facebook
Achasta,"(Tom Fowler, Head Golf Professional) tfowler@achasta.com",(706) 867-7900,"
639 Birch River Drive, Dahlonega, GA","
639 Birch River Drive", Dahlonega,GA,30533,http://achasta.com,,,,@Achasta,https://www.facebook.com/achasta?ref=br_tf
Aiken GC,aikengc@gforcecable.com,803.649.6029,Aiken,,Aiken,SC,29801,http://www.aikengolfclub.com,,,,not listed on site,not listed on site
Ak-Chin Southern Dunes,"(Brady J. Wilson, PGA
General Manager)
bwilson@troongolf.com",480-367-8949,"48456 Arizona 238, Maricopa, AZ",48456 Arizona 238, Maricopa, AZ,85139,http://www.golfsoutherndunes.com/index.php,,not listed on site,$34-$99,@AkChin_SoDunes,https://www.facebook.com/AkChinSouthernDunes
Allegheny CC,information@alleghenycountryclub.net,(412) 741-7500,"250 Country Club Rd, Sewickley, PA",250 Country Club Rd, Sewickley, PA,15143,http://www.alleghenycountryclub.com,,,,no account,https://www.facebook.com/AlleghenyCounty/info
Alotian Club,,(501) 379-2568,"101 Alotian Dr, Roland, AR",101 Alotian Dr, Roland, AR,72135,,,,,,
Alpine CC,info@alpinecc.org,201-768-2121,"80 Anderson Avenue, Demarest NJ",80 Anderson Avenue, Demarest,NJ,07627,http://www.alpinecc.org,,,,,
"Amana Colonies
","*no email listed, contact form (asks for phone number)",(319) 622-6222,"451 U Ave, Amana, IA ",451 U Ave, Amana, IA ,52203,http://www.amanagolfcourse.com,,,,@goAmanaColonies,https://www.facebook.com/AmanaColoniesGolf
Anchorage GC,golf@anchoragegolfcourse.com,907-522-3363,"3651 O'Malley Rd, Anchroage, AK",3651 O'Malley Rd, Anchroage, AK,99507,http://www.anchoragegolfcourse.com,,*more than 1 course,Regular Season - $45 - $66,@AnchGolfCourse,https://www.facebook.com/anchoragegolfcourse
Angels Crossing,*no email listed,(269) 649-2700,"3600 West Avenue E, Vicksburg, MI ",3600 West Avenue E, Vicksburg, MI ,49097,http://www.golfangelscrossing.com,,,,no account,https://www.facebook.com/pages/Angels-Crossing-Golf-Club/109993572378837
Arcadia Bluffs,"(William Shriver, Chief Operating Officer) bshriver@arcadiabluffs.com",(231) 889-3001,"14710 Northwood Hwy, Arcadia, MI",14710 Northwood Hwy, Arcadia, MI,49613,http://arcadiabluffs.com,,,,@Arcadia_Bluffs,https://www.facebook.com/pages/Arcadia-Bluffs-Golf-Club/115332578489543
Architects GC,"(Lawrence J. Turco, Director of Operations) lturco@thearchitectsclub.com",(908) 213-3080,"700 Strykers Rd, Phillipsburg, NJ ",700 Strykers Rd, Phillipsburg, NJ ,08865,http://www.thearchitectsclub.com/2007/index.php,,,,@ArchitectsClub,
Arizona National,"(Jason Thorpe, General Manager) jthorpe@wctgolf.com",(520) 749-4089,"9777 E Sabino Greens Dr, Tucson, AZ",9777 E Sabino Greens Dr, Tucson, AZ,85749,http://www.arizonanationalgolfclub.com,,,$30-$105,@ArizonaNational,https://www.facebook.com/pages/Arizona-National-Golf-Club/127060336453
Aronimink GC,info@aronimink.org,(610) 356-8000,"3600 St Davids Rd, Newtown Square, PA",3600 St Davids Rd, Newtown Square, PA,19073,http://www.aronimink.org,,,,no account,no actual page
Arrowhead Pointe,"*no email, contact form",(706) 283-6000,"2790 Olympic Rowing Dr, Elberton, GA",2790 Olympic Rowing Dr, Elberton, GA,30635,http://georgiagolf.com/Arrowhead-Pointe,,,,no account,https://www.facebook.com/pages/Arrowhead-Pointe-Golf-Course/277063379128556
Atlanta Athletic Club,esmith@aac1.org,770-448-2166,"1930 Bobby Jones DriveJohns Creek, Georgia",1930 Bobby Jones Drive,Johns Creek,GA,30097,http://www.atlantaathleticclub.org/Amenities/Golf.aspx,,,,no account,no actual page
Atlantic City CC,*no email listed,(609) 236-4400,"1 Leo Fraser Dr, Northfield, NJ",1 Leo Fraser Dr, Northfield, NJ,08225,http://www.accountryclub.com/-home,,,,,
Atlantic City CC,,(609) 236-4400,"1 Leo Fraser Dr, Northfield, NJ",1 Leo Fraser Dr, Northfield, NJ,08225,http://www.accountryclub.com,,,,,https://www.facebook.com/ACCountryClub
Atlantic GC,mailbox@atlanticgolf.org,(631) 537-1818,"1040 Scuttle Hole Rd, Bridgehampton, NY",1040 Scuttle Hole Rd, Bridgehampton, NY,11932,https://www.atlanticgolf.org,,,,no account,no actual page
Augusta CC,,(706) 733-9426,"655 Milledge Rd, Augusta, GA",655 Milledge Rd, Augusta, GA,30904,http://www.augcc.com,,,,,
Augusta National GC,,(706) 667-6000,"2604 Washington Rd, Augusta, GA",2604 Washington Rd, Augusta, GA,30904,?,,,,,
Austin GC,,(512) 264-9787,"24900 State Highway 71 W, Spicewood, TX",24900 State Highway 71 W, Spicewood, TX,78669,?,,,,,
Back Creek,"*no email listed, contact form (form asks for mailing address)",(302) 378-6499,"01 Back Creek Dr, Middletown, DE",01 Back Creek Dr, Middletown, DE,19709,http://backcreekgc.com,,,,@Backcreekgolf,https://www.facebook.com/backcreekgc
Bald Head Island Club,*no email listed,(910) 457-7300,"1 Salt Meadow Trail, Bald Head Island, NC",1 Salt Meadow Trail, Bald Head Island, NC,28461,http://www.bhiclub.net/club/scripts/section/section.asp?GRP=15617&NS=GOLF,,,,@BHIGolfMa10ance,not listed on site
Ballamor GC,shewalter@ballamor.com,(609) 601-6220,"6071 English Creek Ave, Egg Harbor Township, NJ",6071 English Creek Ave, Egg Harbor Township, NJ,08234,http://www.ballamor.com/index.php,,,,@BallamorGC,https://www.facebook.com/ballamorgolfclub
Ballyneal,no email listed; contact form,(970) 854-5900,"1 Ballyneal Ln, Holyoke, CO
",1 Ballyneal Ln, Holyoke," CO
",80734,http://www.ballyneal.com,,,,@Ballyneal,https://www.facebook.com/pages/Ballyneal/121939227881056
Baltimore CC,"*no email listed, asks to call",410-889-4400.,"Timonium, MD",,Timonium, MD,,http://www.bcc1898.com,,,,,
Baltusrol GC (Lower),no email listed,(973) 376-1900,"201 Shunpike Rd, Springfield Township, NJ",201 Shunpike Rd, Springfield Township, NJ,07081,http://www.baltusrol.org/,,,,no account,no actual page
Baltusrol GC (Upper),no email listed,(973) 376-1900,"201 Shunpike Rd, Springfield Township, NJ",201 Shunpike Rd, Springfield Township, NJ,07081,http://www.baltusrol.org/,,,,no account,no actual page
Bandon Dunes,"(Jake Sestero, Golf Professional) jsestero@bandondunesgolf.com",888-345-6008,"57744 Round Lake Drive, Bandon, OR ",57744 Round Lake Drive, Bandon, OR ,97411,http://www.bandondunesgolf.com/pages/bandon_dunes/49.php,,,,@BandonDunesGolf,https://www.facebook.com/BandonDunesGolf
Bandon Trails,"(Jake Sestero, Golf Professional) jsestero@bandondunesgolf.com",888-345-6008,"57744 Round Lake Drive, Bandon, OR ",57744 Round Lake Drive, Bandon, OR ,97411,http://www.bandondunesgolf.com/pages/bandon_trails/51.php,,,,@BandonDunesGolf,https://www.facebook.com/BandonDunesGolf
Barefoot Landing (Fazio),"*no email listed, contact form (asks for phone number)",1-866-638-4818,North Myrtle Beach,,North Myrtle Beach,,29582,http://www.barefootgolf.com/Fazio-Course/the-fazio-course-at-barefoot.html,,,,not listed on site,https://www.facebook.com/BarefootResort
Barona Creek,info@barona.com,(619) 387-7018,"1932 Wildcat Canyon Rd, Lakeside, CA",1932 Wildcat Canyon Rd, Lakeside, CA,92040,http://www.barona.com/golf/,,,$40-$160,@BaronaCasino,https://www.facebook.com/BaronaCasino?ref=ts
Barton Creek (Fazio Canyons),"*no email listed, contact form (asks for email and phone)",512.329.4000,"8212 Barton Club Dr, Austin, TX",8212 Barton Club Dr, Austin, TX,78735,http://www.bartoncreek.com/fazio-canyons.aspx,,,,@OmniBartonCreek,https://www.facebook.com/OmniBartonCreek
Barton Creek (Fazio Foothills),"*no email listed, contact form",1 866 572 7369,"8212 Barton Club Dr, Austin, TX",8212 Barton Club Dr, Austin, TX,78735,http://www.bartoncreek.com/fazio-foothills.aspx,,,,@OmniBartonCreek,https://www.facebook.com/OmniBartonCreek
Barton Hills CC,barton@bartonhillscc.com,(734) 662-4955,"730 Country Club Rd, Ann Arbor, MI ",730 Country Club Rd, Ann Arbor, MI ,48105,http://www.bartonhillscc.com,,Par-71 // ?,,,
Bay Creek GC (Nicklaus),golfinfo@baycreek.net,(757) 331-8620,"
        1 Clubhouse Way, Cape Charles, VA","
        1 Clubhouse Way", Cape Charles, VA,23310,"
http://www.baycreekresort.com",,,,no account,https://www.facebook.com/pages/Bay-Creek-Golf-Course/93554255963
Bay Harbor (Links /Quarry),,,Bay Harbor,,Bay Harbor,,,,,,,@BayHarbor,https://www.facebook.com/RenaissanceLakeMichiganBayHarborInn
"Bay Hill Club
","(Brian Dom, Director of Golf) bdorn@bayhill.com",(407) 876-2429,"9000 Bay Hill Boulevard,
Orlando, FL",9000 Bay Hill Boulevard,"
Orlando", FL,32819,http://www.bayhill.com/Home-1.html,,,,@APBayHill,https://www.facebook.com/APBayHill
Bayonet GC,info@bayonetblackhorse.com,831.899.7271,"1 Golf Club Rd, Seaside, CA",1 Golf Club Rd, Seaside, CA,93955,http://bayonetblackhorse.memfirstweb.net/club/scripts/public/public.asp?NS=PUBLIC,,,,@BBHgolf,https://www.facebook.com/pages/Bayonet-Black-Horse-Golf-Courses/56300669658
Bayonne Golf Club,golfshop@bayonnegolfclub.com,201-823-4800,"One Lefante Way | Bayonne, NJ",One Lefante Way,Bayonne,NJ,07002,http://www.bayonnegolfclub.com/,,,,no account,no actual page
